Fund,Issuer,Market_Value_Lacs,NAV_Percentage,Holdings_Count
HDFC Corporate Bond Fund,Hindustan Petroleum Corp.,38501.48,1.08,4
HDFC Corporate Bond Fund,Kotak Mahindra Investments,35722.58,0.99,3
HDFC Corporate Bond Fund,TATA Capital Housing,33477.04,0.93,3
HDFC Corporate Bond Fund,MANGALORE REFINERY AND,25181.61,0.7,1
HDFC Corporate Bond Fund,John Deere Financial,24469.27,0.68,1
HDFC Corporate Bond Fund,L&T Finance Ltd.^,20212.09,0.56,3
HDFC Corporate Bond Fund,Maharashtra SDL ISD,18607.63,0.52,4
HDFC Corporate Bond Fund,DME Development Limited^,18097.36,0.5,1
HDFC Corporate Bond Fund,REC Limited.,15533.45,0.43,2
HDFC Corporate Bond Fund,Gujarat SDL ISD,15189.48,0.43,3
HDFC Corporate Bond Fund,Andhra Pradesh SDL,15124.32,0.42000000000000004,3
HDFC Corporate Bond Fund,Nuclear Power Corporation,12953.32,0.36,2
HDFC Corporate Bond Fund,HDFC Bank Ltd.,10374.21,0.29,1
HDFC Corporate Bond Fund,Kotak Mahindra Prime,10222.97,0.28,1
HDFC Corporate Bond Fund,Corporate Debt Market,9873.8,0.27,1
HDFC Corporate Bond Fund,NHPC Ltd.^,9143.37,0.26,7
HDFC Corporate Bond Fund,Jharkhand SDL ISD,7888.32,0.22,1
HDFC Corporate Bond Fund,% Gujarat SDL,7336.71,0.2,1
HDFC Corporate Bond Fund,Chattisgarh SDL ISD,5259.36,0.15,1
HDFC Corporate Bond Fund,Chhattisgarh SDL ISD,5228.68,0.15,1
HDFC Corporate Bond Fund,NTPC Limited^,5224.0599999999995,0.14,2
HDFC Corporate Bond Fund,Nomura Fixed Income,5094.56,0.14,1
HDFC Corporate Bond Fund,ICICI Bank Ltd.^,4971.33,0.14,1
HDFC Corporate Bond Fund,Bihar SDL -,4072.14,0.11,1
HDFC Corporate Bond Fund,RAJASTHAN SDL ISD,2613.37,0.07,1
HDFC Corporate Bond Fund,Jamnagar Utilities &,2569.43,0.07,1
HDFC Corporate Bond Fund,Export - Import,2541.66,0.07,1
HDFC Corporate Bond Fund,SMFG India Home,2537.17,0.07,1
HDFC Corporate Bond Fund,Sikka Port and,1522.87,0.04,1
HDFC Corporate Bond Fund,Haryana SDL ISD,1503.0,0.04,1
HDFC Corporate Bond Fund,Tamil Nadu SDL,315.14,0.01,1
ICICI Corporate Bond Fund,Government of India,505769.92,15.27473708032,16
ICICI Corporate Bond Fund,NABARD,358034.96,10.81138178552,11
ICICI Corporate Bond Fund,LIC Housing Finance,349746.94,10.56346985388,24
ICICI Corporate Bond Fund,Small Industries Development,264564.98,7.99070376607,15
ICICI Corporate Bond Fund,Rural Electrification Corporation,238888.67,7.21519754818,19
ICICI Corporate Bond Fund,Power Finance Corporation,182614.12,5.51552717378,13
ICICI Corporate Bond Fund,India Universal Trust,102549.04000000001,3.0973071346800003,3
ICICI Corporate Bond Fund,Pipeline Infrastructure Pvt,100231.65999999999,3.02731488893,3
ICICI Corporate Bond Fund,DME Development Ltd.,66355.34,2.00414229135,11
ICICI Corporate Bond Fund,HDFC Bank Ltd.,64856.2,1.95886349581,6
ICICI Corporate Bond Fund,Bharat Petroleum Corporation,59486.28,1.7966748344,1
ICICI Corporate Bond Fund,Summit Digitel Infrastructure,59366.53,1.79305800356,3
ICICI Corporate Bond Fund,Tata Capital Housing,58624.6,1.77064935806,4
ICICI Corporate Bond Fund,Jamnagar Utilities &,52656.479999999996,1.59039315424,3
ICICI Corporate Bond Fund,NTPC Ltd.,50165.13,1.51514646126,1
ICICI Corporate Bond Fund,EMBASSY OFFICE PARKS,43644.840000000004,1.3182129673899998,5
ICICI Corporate Bond Fund,Titan Company Ltd.,43155.92,1.30344602855,1
ICICI Corporate Bond Fund,Citicorp Finance (India),42511.71,1.28398883782,2
ICICI Corporate Bond Fund,State Bank of,38134.38,1.15177955103,3
ICICI Corporate Bond Fund,Mahanagar Telephone Nigam,33675.729999999996,1.01711414163,2
ICICI Corporate Bond Fund,Mahindra & Mahindra,31412.39,0.94875407575,1
ICICI Corporate Bond Fund,L&T Metro Rail,30461.75,0.92004172452,1
ICICI Corporate Bond Fund,Axis Bank Ltd.,29217.460000000003,0.88246020941,3
ICICI Corporate Bond Fund,Canara Bank,26608.56,0.8036631325799999,5
ICICI Corporate Bond Fund,Union Bank Of,24362.93,0.73583796503,2
ICICI Corporate Bond Fund,Indian Bank,23803.79,0.7189501588599999,2
ICICI Corporate Bond Fund,SMFG India Credit,23648.7,0.71426594764,2
ICICI Corporate Bond Fund,Sikka Ports &,21566.39,0.6513735634699999,2
ICICI Corporate Bond Fund,Samvardhana Motherson International,21381.67,0.64579443203,2
ICICI Corporate Bond Fund,ICICI Home Finance,20975.01,0.63351200675,3
ICICI Corporate Bond Fund,Nexus Select Trust,20115.8,0.60756113231,1
ICICI Corporate Bond Fund,SMFG India Home,20076.8,0.6063832082699999,2
ICICI Corporate Bond Fund,Export-Import Bank Of,19128.16,0.5777312634,2
ICICI Corporate Bond Fund,HDFC Bank Ltd.(,18547.64,0.56019771324,2
ICICI Corporate Bond Fund,Housing and Urban,17169.11,0.5185617232299999,2
ICICI Corporate Bond Fund,Dabur India Ltd.,15165.17,0.4580363623,1
ICICI Corporate Bond Fund,Kotak Mahindra Investments,15100.79,0.4560918815599999,1
ICICI Corporate Bond Fund,Punjab National Bank,14600.96,0.4409954259999999,1
ICICI Corporate Bond Fund,Kohima-Mariani Transmission Ltd.,13533.55,0.40875624942,1
ICICI Corporate Bond Fund,Aditya Birla Housing,10150.08,0.3065646953,1
ICICI Corporate Bond Fund,Corporate Debt Market,8085.84,0.2442180826,1
ICICI Corporate Bond Fund,HDB Financial Services,5992.84,0.18100282644,2
ICICI Corporate Bond Fund,Bharat Sanchar Nigam,5121.59,0.15468830569,1
ICICI Corporate Bond Fund,Sundaram Home Finance,5013.34,0.15141881143,1
ICICI Corporate Bond Fund,Bank Of Baroda,4904.49,0.14813119526000001,2
ICICI Corporate Bond Fund,Nomura Capital (India),3057.11,0.09233444422,1
ICICI Corporate Bond Fund,Nomura Fixed Income,2546.4,0.07690937806,1
ICICI Corporate Bond Fund,Bajaj Finance Ltd.,2509.22,0.07578642382,1
ICICI Corporate Bond Fund,Kotak Mahindra Prime,2501.41,0.07555053698,1
ICICI Corporate Bond Fund,Jio Credit Ltd,2500.44,0.0755212399,1
ICICI Corporate Bond Fund,Larsen & Toubro,1028.44,0.0310621586399999,1
ICICI Corporate Bond Fund,Grasim Industries Ltd.,1023.65,0.0309174854099999,1
ICICI Corporate Bond Fund,Indian Railway Finance,609.14,0.01839796518,1
ICICI Corporate Bond Fund,Hindustan Petroleum Corporation,51.41,0.0,1
KOTAK Corporate Bond Fund,Government of India,320277.95,17.970000000000002,8
KOTAK Corporate Bond Fund,NATIONAL BANK FOR,180195.67,10.120000000000001,6
KOTAK Corporate Bond Fund,SMALL INDUSTRIES DEVELOPMENT,153919.28,8.65,10
KOTAK Corporate Bond Fund,Power Finance Corporation,129128.79,7.25,5
KOTAK Corporate Bond Fund,REC LTD,94294.0,5.3,10
KOTAK Corporate Bond Fund,LIC HOUSING FINANCE,74561.39,4.19,5
KOTAK Corporate Bond Fund,BAJAJ FINANCE LTD.,57103.12,3.21,2
KOTAK Corporate Bond Fund,JAMNAGAR UTILITIES &,52494.53,2.94,2
KOTAK Corporate Bond Fund,TATA CAPITAL HOUSING,40848.39,2.31,5
KOTAK Corporate Bond Fund,ADITYA BIRLA CAPITAL,40548.33,2.28,3
KOTAK Corporate Bond Fund,EMBASSY OFFICE PARKS,38410.85,2.15,3
KOTAK Corporate Bond Fund,National Housing Bank,37078.2,2.08,3
KOTAK Corporate Bond Fund,Mahindra & Mahindra,36974.47,2.07,2
KOTAK Corporate Bond Fund,HDFC BANK LTD.,36070.47,2.0300000000000002,4
KOTAK Corporate Bond Fund,Larsen and Toubro,28422.87,1.6,1
KOTAK Corporate Bond Fund,PTC INDIA UNIVERSAL,28371.64,1.59,2
KOTAK Corporate Bond Fund,HDB FINANCIAL SERVICES,27872.72,1.56,3
KOTAK Corporate Bond Fund,PIPELINE INFRASTRUCTURE LIMITED,25732.33,1.4400000000000002,1
KOTAK Corporate Bond Fund,SMFG INDIA HOME,25313.620000000003,1.42,2
KOTAK Corporate Bond Fund,HOUSING & URBAN,24996.23,1.4,1
KOTAK Corporate Bond Fund,L & T,22759.94,1.28,1
KOTAK Corporate Bond Fund,Sikka Ports &,21827.95,1.22,2
KOTAK Corporate Bond Fund,PTC SANSAR TRUST,20858.05,1.18,3
KOTAK Corporate Bond Fund,Maharashtra State Govt,19336.71,1.0899999999999999,2
KOTAK Corporate Bond Fund,Food Corporation of,18841.14,1.06,2
KOTAK Corporate Bond Fund,INDIA INFRADEBT LTD,17845.18,1.0,2
KOTAK Corporate Bond Fund,INDIGRID INFRASTRUCTURE TRUST,14588.18,0.8199999999999998,3
KOTAK Corporate Bond Fund,ICICI HOME FINANCE,13732.01,0.77,2
KOTAK Corporate Bond Fund,L&T METRO RAIL,13016.45,0.73,1
KOTAK Corporate Bond Fund,INDIAN OIL CORPORATION,11306.59,0.63,1
KOTAK Corporate Bond Fund,TATA CAPITAL LTD.,11249.08,0.6300000000000001,2
KOTAK Corporate Bond Fund,DME DEVELOPMENT LIMITED,10570.1,0.6,10
KOTAK Corporate Bond Fund,SMFG INDIA CREDIT,10192.15,0.5700000000000001,1
KOTAK Corporate Bond Fund,CAN FIN HOMES,10166.04,0.5700000000000001,1
KOTAK Corporate Bond Fund,Hindustan Zinc Ltd.,10117.34,0.5599999999999998,2
KOTAK Corporate Bond Fund,VERTIS INFRASTRUCTURE TRUST,10012.81,0.5599999999999999,1
KOTAK Corporate Bond Fund,NUCLEAR POWER CORPORATION,7694.88,0.43,1
KOTAK Corporate Bond Fund,NOMURA FIXED INCOME,5094.56,0.29,1
KOTAK Corporate Bond Fund,SBI ALTERNATIVE INVESTMENT,4729.78,0.27,1
KOTAK Corporate Bond Fund,BAJAJ HOUSING FINANCE,2559.06,0.1399999999999999,1
KOTAK Corporate Bond Fund,Export-Import Bank of,2541.66,0.1399999999999999,1
KOTAK Corporate Bond Fund,MINDSPACE BUSINESS PARKS,1009.28,0.06,1
KOTAK Corporate Bond Fund,GS CG 12,331.13,0.02,1
KOTAK Corporate Bond Fund,Tamil Nadu State,305.42,0.02,1
NIPPON Corporate Bond Fund,Government of India,202537.51,20.22,20
NIPPON Corporate Bond Fund,REC Limited,71349.44,7.11,18
NIPPON Corporate Bond Fund,National Bank For,69498.72,6.93,8
NIPPON Corporate Bond Fund,Small Industries Dev,64444.68,6.44,5
NIPPON Corporate Bond Fund,Indian Railway Finance,56782.25,5.67,10
NIPPON Corporate Bond Fund,Power Finance Corporation,54609.82,5.4399999999999995,11
NIPPON Corporate Bond Fund,Aditya Birla Housing,30569.92,3.06,3
NIPPON Corporate Bond Fund,HDB Financial Services,29511.51,2.94,5
NIPPON Corporate Bond Fund,India Universal Trust,29096.33,2.9,2
NIPPON Corporate Bond Fund,Tata Capital Housing,25992.35,2.59,4
NIPPON Corporate Bond Fund,LIC Housing Finance,21693.73,2.17,3
NIPPON Corporate Bond Fund,Summit Digitel Infrastructure,21442.559999999998,2.1399999999999997,2
NIPPON Corporate Bond Fund,Bajaj Finance Limited,19197.23,1.92,3
NIPPON Corporate Bond Fund,Aditya Birla Capital,17602.45,1.76,2
NIPPON Corporate Bond Fund,National Highways Authority,16168.15,1.62,6
NIPPON Corporate Bond Fund,Jamnagar Utilities &,15416.6,1.54,1
NIPPON Corporate Bond Fund,Bajaj Housing Finance,15015.2,1.5,1
NIPPON Corporate Bond Fund,State Bank of,14986.34,1.5,2
NIPPON Corporate Bond Fund,Titan Company Limited,14548.55,1.4500000000000002,1
NIPPON Corporate Bond Fund,Export Import Bank,14275.89,1.4200000000000002,2
NIPPON Corporate Bond Fund,L&T Finance Limited,14057.84,1.4,3
NIPPON Corporate Bond Fund,Embassy Office Parks,12773.150000000001,1.27,2
NIPPON Corporate Bond Fund,Toyota Financial Services,12713.15,1.27,2
NIPPON Corporate Bond Fund,Nexus Select Trust,10691.38,1.0699999999999998,1
NIPPON Corporate Bond Fund,NTPC Limited,10238.06,1.02,1
NIPPON Corporate Bond Fund,Reliance Jio Infocomm,9969.72,1.0,1
NIPPON Corporate Bond Fund,Mahindra & Mahindra,9789.91,0.98,1
NIPPON Corporate Bond Fund,National Housing Bank,8698.449999999999,0.87,2
NIPPON Corporate Bond Fund,Highways Infrastructure Trust,7652.26,0.76,1
NIPPON Corporate Bond Fund,Tata Communications Limited,7582.9,0.76,1
NIPPON Corporate Bond Fund,Poonawalla Fincorp Limited,7513.31,0.75,1
NIPPON Corporate Bond Fund,L&T Metro Rail,5506.96,0.5499999999999999,1
NIPPON Corporate Bond Fund,ICICI Home Finance,5122.58,0.51,1
NIPPON Corporate Bond Fund,Sundaram Home Finance,5050.69,0.5,1
NIPPON Corporate Bond Fund,JIO Credit Limited,5010.03,0.5,1
NIPPON Corporate Bond Fund,Mindspace Business Parks,4643.78,0.4599999999999999,1
NIPPON Corporate Bond Fund,IndiGRID Infrastructure Trust,2997.56,0.3,1
NIPPON Corporate Bond Fund,National Highways Infra,2996.8999999999996,0.3,2
NIPPON Corporate Bond Fund,ICICI Bank Limited,2967.81,0.3,1
NIPPON Corporate Bond Fund,8% Larsen &,2631.75,0.26,1
NIPPON Corporate Bond Fund,Kotak Mahindra Prime,2552.52,0.25,1
NIPPON Corporate Bond Fund,Tata Capital Limited,2551.06,0.25,1
NIPPON Corporate Bond Fund,Corporate Debt Market,2523.63,0.25,1
NIPPON Corporate Bond Fund,SBI General Insurance,612.68,0.06,1
SBI Corporate Bond Fund,CGL 2034,236007.26,9.34,1
SBI Corporate Bond Fund,Government of India,169556.49,6.72,9
SBI Corporate Bond Fund,National Bank for,163417.83000000002,6.46,6
SBI Corporate Bond Fund,Small Industries Development,142343.07,5.640000000000001,4
SBI Corporate Bond Fund,LIC Housing Finance,138078.93,5.46,8
SBI Corporate Bond Fund,State Bank of,119394.70000000001,4.72,2
SBI Corporate Bond Fund,Summit Digitel Infrastructure,108157.24,4.28,4
SBI Corporate Bond Fund,IndiGrid Infrastructure Trust,96539.25,3.83,6
SBI Corporate Bond Fund,Reliance Industries Ltd.,93349.96,3.7,1
SBI Corporate Bond Fund,Bajaj Finance Ltd.,92653.2,3.68,4
SBI Corporate Bond Fund,Tata Capital Housing,89021.56,3.5300000000000002,4
SBI Corporate Bond Fund,CGL 2054,83118.42,3.29,1
SBI Corporate Bond Fund,HDB Financial Services,80311.54,3.1799999999999997,4
SBI Corporate Bond Fund,REC Ltd.,71299.53,2.82,4
SBI Corporate Bond Fund,Pipeline Infrastructure Pvt,70680.64,2.8,1
SBI Corporate Bond Fund,Power Finance Corporation,69023.33,2.73,4
SBI Corporate Bond Fund,India Universal Trust,61557.4,2.44,1
SBI Corporate Bond Fund,Mindspace Business Parks,57578.57,2.27,3
SBI Corporate Bond Fund,Vertis Infrastructure Trust,54210.19,2.15,2
SBI Corporate Bond Fund,TATA Capital Ltd.,40117.57,1.5899999999999999,2
SBI Corporate Bond Fund,Mahindra & Mahindra,30662.73,1.21,2
SBI Corporate Bond Fund,Sundaram Finance Ltd.,30081.06,1.19,1
SBI Corporate Bond Fund,Power Grid Corporation,29987.03,1.19,3
SBI Corporate Bond Fund,Indian Railway Finance,29826.800000000003,1.18,2
SBI Corporate Bond Fund,National Highways Infra,29711.11,1.18,1
SBI Corporate Bond Fund,Jamnagar Utilities &,25694.33,1.02,1
SBI Corporate Bond Fund,Sustainable Energy Infra,22422.96,0.89,1
SBI Corporate Bond Fund,Kotak Mahindra Prime,17802.25,0.7,2
SBI Corporate Bond Fund,Titan Company Ltd.,17558.59,0.7,1
SBI Corporate Bond Fund,Bajaj Housing Finance,16378.0,0.65,1
SBI Corporate Bond Fund,NHPC Ltd.,15238.16,0.6,1
SBI Corporate Bond Fund,John Deere Financial,14979.05,0.59,1
SBI Corporate Bond Fund,Sundaram Home Finance,14108.58,0.56,3
SBI Corporate Bond Fund,Nexus Select Trust,12727.84,0.5,1
SBI Corporate Bond Fund,Mahanagar Telephone Nigam,12076.26,0.48,2
SBI Corporate Bond Fund,NTPC Ltd.,11505.88,0.46,1
SBI Corporate Bond Fund,Mahindra Rural Housing,10179.24,0.4,1
SBI Corporate Bond Fund,SMFG India Credit,10152.43,0.4,1
SBI Corporate Bond Fund,Corporate Debt Market,7010.22,0.28,1
SBI Corporate Bond Fund,Bharat Sanchar Nigam,4518.54,0.18,1
SBI Corporate Bond Fund,Aditya Birla Capital,2537.17,0.1,1
SBI Corporate Bond Fund,CGL 2035,996.59,0.04,1
